"","Lower.Super.Output.Area","social_isolation_pc1","Construction Services","Engineering Services","Contract Services","Research and Design","Transport, Storage and Delivery","Gambling","Sports Complex","Consumer Products","Primary, Secondary and Tertiary Education","Central and local Government","Public Transport, Stations and Infrastructure","Mid.year.Population.Estimates.All.Ages.2011","Mid.year.Population.Estimates.Aged.0.15.2011","Mid.year.Population.Estimates.Aged.16.29.2011","Mid.year.Population.Estimates.Aged.30.44.2011","Mid.year.Population.Estimates.Aged.45.64.2011","Mid.year.Population.Estimates.Aged.65..2011","Ethnic.Group.White.....2011","Ethnic.Group.Mixed.multiple.ethnic.groups.....2011","Ethnic.Group.Asian.Asian.British.....2011","Ethnic.Group.Black.African.Caribbean.Black.British.....2011","Ethnic.Group.Other.ethnic.group.....2011"
"88","E01000096",-0.10978228636087,27.9,3.1,5.9,3.7,74.2,7.6,11.6,7,11.8,2.8,NA,1903,658,424,434,288,99,43.8,4.4,9.6,40.4,1.8
"89","E01000097",-0.544411000524945,51.5,5.5,13.6,9.2,51.4,20.7,27.6,12.3,26.7,8,3,1679,409,275,390,307,298,68.6,4.4,13.5,11.9,1.6
"90","E01000098",-0.151214343102919,52.1,6.9,11.5,8.2,53.4,21,23.6,12.1,26,8.1,3.4,1752,468,345,407,372,160,60.9,5.4,17.6,15.1,1
"91","E01000099",-0.0913963691218662,49.7,5,12.6,8.6,51.2,20.2,24.8,11.8,25,9.1,2.9,1736,451,329,406,359,191,70.3,4.8,11.4,12.5,0.9
"92","E01000100",-0.244500460292779,51.9,4.6,11.2,8.5,48.4,20.1,19.5,13.3,22.5,11.2,2.5,1656,456,284,399,338,179,70.2,4,10.7,13.7,1.5
"93","E01000101",-0.3185810803483,58.5,3.9,14.1,9.8,56.1,18.8,21.7,13.5,23.9,11.6,3,1519,368,276,362,347,166,70.6,2.8,9.7,15.9,1
"94","E01000102",-0.255686469194293,49.3,5.1,9.3,7.4,48,20.7,19.7,12.8,22.8,8.6,4,1549,386,269,364,333,197,70.8,4.9,7.9,15.5,0.9
"95","E01000103",-0.00271226664045265,17.6,NA,2.8,NA,21.5,10.2,14,5.2,9.9,4.8,NA,1694,445,371,398,350,130,59.4,4.1,6.4,28.1,2.1
"96","E01000104",-0.339905812785603,34.2,1,3.4,3.8,25.8,13,18.5,8.4,13,8,3.9,1796,500,404,403,350,139,63.6,3.8,5.8,25.5,1.2
"97","E01000105",-0.516805495498777,33.7,1,3.2,3.5,22.3,15.3,17.9,8.1,19.1,8.8,5.2,2148,543,439,486,412,268,67.3,5.3,5.1,21.5,0.8
"98","E01000106",-0.347668131630263,26,1,3.3,2.7,21.3,13.3,17.6,6.4,14.5,8,4,1989,508,410,461,392,218,61.9,4.7,5.6,26.8,0.9
"99","E01000107",-0.196471334441592,19.6,1,2.4,2.8,21.3,6.7,12.3,4.8,6.1,3.1,2.2,1665,391,281,314,402,277,71.3,2.5,8.5,16.8,0.9
"100","E01000108",0.0362432819742234,31.7,1,3.8,3.4,25.5,11.7,17,8.1,10.5,7.9,3.8,1556,329,319,344,381,183,67.7,4.3,8.9,18,1.2
"101","E01000109",0.178823737775324,43.2,4.1,11.2,7,44.3,17,16.3,11.1,17.3,7.9,2.1,1691,411,345,382,374,179,60.6,4.2,18.4,16,0.8
"102","E01000110",0.182803345538065,32.4,2.8,12.6,5.1,38.1,8.4,21.9,11.2,11.2,5,2,1418,297,268,295,363,195,55.4,3.8,22.2,16.4,2.1
"103","E01000111",0.0400270486112085,41.3,4.6,14.5,6,48,13.7,26.3,12.8,17.8,9.9,2,1846,446,377,406,371,246,61,3.8,16.7,16.8,1.6
"104","E01000112",0.399445549212242,46.7,5,14.6,7.7,48.9,15.9,29.6,12.8,22.2,7,2.4,1881,404,417,482,376,202,49.9,5,25.7,17.7,1.8
"105","E01000113",0.502028487267513,54.3,5.5,13.9,8.4,48.8,16.4,30,11.4,25.1,5.3,2.5,1685,402,283,436,391,173,49.3,4.3,26.3,17.1,3
"106","E01000114",0.158945427424417,40.8,4.3,13.9,5.7,47.2,13.7,24.2,12.3,15.9,9.5,2.2,2093,543,391,476,448,235,58.9,3.8,13.8,22.9,0.7
"107","E01032580",0.547673203595146,49.2,7.8,10.7,8.1,50.8,20.8,25.9,12.1,26.3,5.3,2.8,1361,360,334,331,239,97,47.9,3.6,31.1,15.2,2.2
"108","E01033587",0.940012276539002,20,4.1,4.6,2.6,55.9,17.5,29.6,11.8,16.7,15.6,4.5,1665,483,398,543,194,47,43.3,4.4,21.4,28.3,2.5
"109","E01033588",0.695936929817397,28.4,6.3,5.2,3.5,73.6,16.9,24.2,13.4,16.2,14.6,4.9,1636,524,322,504,210,76,38.3,6.2,18.9,33.5,3.2
