Lower Super Output Area,Names,Mid year Population Estimates;All Ages;2011,Mid year Population Estimates;Aged 0 15;2011,Mid year Population Estimates;Aged 16 29;2011,Mid year Population Estimates;Aged 30 44;2011,Mid year Population Estimates;Aged 45 64;2011,Mid year Population Estimates;Aged 65+;2011,Mid year Population Estimates;Working age;2011,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Household Composition;% Lone parent household;2011,Household Composition;% One person household;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011,Tenure;Social rented (%);2011,Tenure;Private rented (%);2011,Dwelling type;Household spaces with no usual residents (%);2011,House Prices;Median Price (£);2011,Adults in Employment;% of households with no adults in employment: With dependent children;2011,Lone Parents;Lone parent not in employment %;2011,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Qualifications;% Highest level of qualification: Level 1 qualifications;2011,Qualifications;% Highest level of qualification: Level 2 qualifications;2011,Qualifications;% Highest level of qualification: Apprenticeship;2011,Qualifications;% Highest level of qualification: Other qualifications;2011,Health;Day to day activities limited a lot (%);2011,Health;Day to day activities limited a little (%);2011,Health;Fair health (%);2011,Health;Bad or Very Bad health (%);2011,Car or van availability;No cars or vans in household (%);2011,Car or van availability;1 car or van in household (%);2011,Public Transport Accessibility Levels (2014);% 0 1 (poor access),Public Transport Accessibility Levels (2014);% 2 3 (average access),"Household Income, 2011/12;Mean Annual Household Income estimate (£)",pop_density_2011
E01000021,Barking and Dagenham 008A,1588,384,387,378,311,128,1076,1579,16.9,20.2,31.9,54.1,5.4,19.8,19.6,1.1,45.9,27.5,28.2,1.2,-160000,12,51.7,13.2,25.7,17.1,14.7,1.5,10.5,9.2,7.7,12.1,7.5,40.6,43.8,56,44,-30890,93.96449704
E01000022,Barking and Dagenham 008B,1315,351,262,298,288,116,848,1314,12.8,23.6,21.7,63.5,5.3,11.1,19.4,0.7,36.5,25.9,15.4,1.5,-165000,14,53.2,10.2,27.9,15.2,17,2.8,8.9,8.6,8.1,13.8,6.5,34.2,45.6,10,90,-35700,102.734375
E01000023,Barking and Dagenham 008C,1130,242,263,308,205,112,776,1112,20.7,13.4,39.8,55.4,4.4,21.2,17.1,1.9,44.6,27.2,25.8,7.7,-179995,7,45.5,11.1,27.6,10.8,14.2,1.4,9.2,8.2,8.7,13.8,6.3,39.2,49.8,7.4,92.6,-33986,54.58937198
E01000024,Barking and Dagenham 008D,1342,365,265,315,279,118,859,1336,12.9,22.1,21.5,55.9,4.3,16.2,21.5,2,44.1,28.7,16.4,1.3,-169500,10,49.3,9.2,28.8,17.4,14.2,2.2,10.1,9,7,11.9,6.6,32.7,46.3,0,100,-33338,104.0310078
E01000025,Barking and Dagenham 008E,1609,389,316,373,368,163,1057,1609,15.3,22.9,25.3,69.2,4.5,10.6,15.2,0.4,30.8,36.1,13.2,1.1,-160500,11,51.4,10.7,32.5,14.5,16.4,1.6,9.4,9.8,7.5,13.1,7.6,35.5,47.5,5.7,94.3,-34076,105.1633987
E01000077,Barking and Dagenham 008F,1452,342,277,377,304,152,958,1445,17.4,22.1,26.6,67.1,2.1,9.5,20.4,0.8,32.9,36.1,16.4,1.9,-167250,11,52.8,11.8,31.4,17,16.4,2.2,9.1,10,9.6,13.8,7.5,39.5,45.5,0,100,-31503,83.44827586
E01000015,Barking and Dagenham 009A,2271,680,495,568,378,150,1441,2241,28.1,26,23.3,66.5,3.3,6.9,21.4,1.9,33.5,32.2,24.6,1.5,-150000,17,63.1,11.7,26,17.8,16.8,1.9,9.9,6.4,7.4,11.4,5.3,42.2,45,25.3,74.3,-31525,80.81850534
E01000016,Barking and Dagenham 009B,1646,423,303,362,370,188,1035,1637,19.9,18.5,28.1,70.5,3.2,7.1,18.1,1,29.5,36.1,14.2,1.9,-159995,11,59.3,9.1,34.6,17.4,16,2.1,6.7,8.9,6.7,11.5,6.4,34.8,47.8,55.6,44.4,-33564,82.71356784
E01000017,Barking and Dagenham 009C,1602,399,309,374,359,161,1042,1594,15.8,18.6,29.2,69.4,3.2,6.9,19.4,1.1,30.6,39.2,12,1.5,-167500,10,58.1,8.8,31.3,14,13.7,1.8,8.7,9.7,9.2,13.3,7.2,37.4,41.7,3.7,96.3,-32479,101.3924051
E01000018,Barking and Dagenham 009D,1608,435,276,389,335,173,1000,1597,17.4,22.5,25.8,71.6,3.2,7.3,17.5,0.4,28.4,38.2,10.9,1.8,-162000,13,65,10.4,32,16.4,16.7,1.9,7.4,9.1,7.6,13.3,6.3,36.8,45.4,26.5,72.4,-33843,92.4137931
