Household.Composition...Lone.parent.household.2011,Household.Composition...One.person.household.2011,Tenure.Social.rented.....2011,Tenure.Private.rented.....2011,Dwelling.type.Household.spaces.with.no.usual.residents.....2011,Adults.in.Employment...of.households.with.no.adults.in.employment..With.dependent.children.2011,Lone.Parents.Lone.parent.not.in.employment...2011,Economic.Activity.Unemployment.Rate.2011,Qualifications...No.qualifications.2011,Qualifications...Highest.level.of.qualification..Level.1.qualifications.2011,Qualifications...Highest.level.of.qualification..Level.2.qualifications.2011,Qualifications...Highest.level.of.qualification..Apprenticeship.2011,Qualifications...Highest.level.of.qualification..Other.qualifications.2011,Health.Day.to.day.activities.limited.a.lot.....2011,Health.Day.to.day.activities.limited.a.little.....2011,Health.Fair.health.....2011,Health.Bad.or.Very.Bad.health.....2011,Car.or.van.availability.No.cars.or.vans.in.household.....2011,Car.or.van.availability.1.car.or.van.in.household.....2011,Household.Income..2011.12.Mean.Annual.Household.Income.estimate....
0.21661830514506242,-0.10216815090414152,0.009108250794936922,-0.5098787617500813,-0.11362472719920694,0.1031687280467416,0.05970094695000567,0.040581884728536494,0.3829884321774389,0.5545913307270562,1,0.4177772402800931,-0.6896973379731782,0.16789432880709734,0.27107484989087544,0.25451221224921,0.08391117262371502,-0.4108696415268447,0.3650110136100074,-0.037288211158706334
-0.25241703604466015,-0.025684069895192455,-0.3741941966469356,-0.3585251443946374,0.0702147666864153,-0.3610145193508055,-0.32271448581481155,-0.38490411949599557,0.24665947769059526,0.31383638615934095,0.4177772402800931,1,-0.5889332982263352,0.21756380868180958,0.3293462531488983,0.3503062124204757,-0.01966993625035238,-0.5835934259941582,0.41392931944742434,-0.40475605821341626
-0.12124532953365563,-0.11523503965187973,0.011524548058961092,0.6687943751852178,0.052279469930093476,0.06275499003198999,0.069463508805983315,0.13594367727347373,-0.6908639240071177,-0.5933630535200073,-0.6896973379731782,-0.5889332982263352,1,-0.5113339899094858,-0.5323910822702906,-0.5338649238798246,-0.32762279039093145,0.4911836722176748,-0.4432240949189521,0.08094852024735438
0.078015360570164,0.4028866986051795,0.16339523159511257,-0.42198536585912555,-0.07559900606713438,-0.061743447319552426,-0.007873187928276808,-0.05969055502980105,0.7564282150795513,0.2189981708038799,0.16789432880709734,0.21756380868180958,-0.5113339899094858,1,0.6559215765170513,0.7494673187751293,0.8447716470299357,-0.1327455535827664,0.21870568436797458,0.2059518716144849
-0.04439457261554626,0.308661247350464,0.069887942052922,-0.49393951173921774,-0.08773618776860721,-0.10494837833023724,-0.009255184518796063,-0.0630471216770285,0.6569753041188306,0.30093032460476943,0.27107484989087544,0.3293462531488983,-0.5323910822702906,0.6559215765170513,1,0.800704923810802,0.6288317309312326,-0.258052861881001,0.2582387950694654,0.07699757846758737
0.018149852608471892,0.2876850877746012,0.0942724315800646,-0.4749391632502728,0.008216535561132315,-0.08556710454802852,-0.026229599436000433,-0.07029492862188445,0.7058028174719465,0.24997137019361995,0.25451221224921,0.3503062124204757,-0.5338649238798246,0.7494673187751293,0.800704923810802,1,0.5556889762162868,-0.18380617696597246,0.1822451040248295,0.10785080749567251
0.15738195391473853,0.4665530997030885,0.35068698657645225,-0.3526793058329309,-0.1705550093002554,0.10145759150712304,0.12388424535103564,0.13668420070676543,0.684848393188675,0.17652107993896374,0.08391117262371502,-0.01966993625035238,-0.32762279039093145,0.8447716470299357,0.6288317309312326,0.5556889762162868,1,0.0891934678241247,0.0646458352735764,0.40510660183112907
0.4355250673348812,0.4465079736487394,0.7090257463204485,0.289031768243036,-0.08407347573662177,0.6002940647005505,0.5207588288276641,0.6746777465696611,-0.1154662127706638,-0.2192160095876883,-0.4108696415268447,-0.5835934259941582,0.4911836722176748,-0.1327455535827664,-0.258052861881001,-0.18380617696597246,0.0891934678241247,1,-0.8214839413168175,0.7205596003096209
-0.1776132222046549,-0.2854725784962489,-0.4904960628298541,-0.24088053942581047,0.031150682923187015,-0.33808426790042195,-0.28162931511220096,-0.515628328312003,0.22441218996592363,0.20852660948742527,0.3650110136100074,0.41392931944742434,-0.4432240949189521,0.21870568436797458,0.2582387950694654,0.1822451040248295,0.0646458352735764,-0.8214839413168175,1,-0.3758151140605763
0.7395772665267123,0.41800583700334737,0.8242887344908465,-0.0732249250122154,-0.21499380595004075,0.7992958364351594,0.6566677144961416,0.7081321151370059,0.3915443219748881,0.20578894218842725,-0.037288211158706334,-0.40475605821341626,0.08094852024735438,0.2059518716144849,0.07699757846758737,0.10785080749567251,0.40510660183112907,0.7205596003096209,-0.3758151140605763,1
